criterion	case_type	input_sample	response_sample	expected	actual	correct	notes
single_question	clear_pass	"I've been stressed lately"	"What's the main thing pressing on you right now?"	PASS	PASS	YES	One question mark, one direct question
single_question	clear_fail	"I've been stressed lately"	"What's stressing you? Is it work or home? How long has this been going on?"	FAIL	FAIL	YES	Three direct questions
single_question	borderline	"I've been stressed lately"	"Sounds like a lot. What's taking the most space right now — work stuff, or something else?"	PASS	PASS	YES	One direct question despite "or something else" framing; rhetorical embedded, counts as one question
no_direct_why	clear_pass	"I stopped painting"	"What made you step back from it?"	PASS	PASS	YES	No "why" used as direct question
no_direct_why	clear_fail	"I stopped painting"	"Why did you stop painting?"	FAIL	FAIL	YES	Direct "why" question
no_direct_why	borderline	"I stopped painting"	"I can see why that might happen. What shifted for you?"	PASS	PASS	YES	"why" appears in reflective statement, not as direct question; second question is fine
language_mirroring	clear_pass	"I feel stuck with my painting lately"	"Stuck with painting — has that happened before?"	PASS	PASS	YES	Echoes both "stuck" and "painting"
language_mirroring	clear_fail	"I feel stuck with my painting lately"	"It sounds like your creative work has hit a plateau. What do you think caused it?"	FAIL	FAIL	YES	No specific words echoed from user input
language_mirroring	borderline	"I feel stuck with my painting lately"	"That feeling of being blocked — how long has it been building?"	PASS	PASS	YES	"feeling" not exact but "blocked" maps closely; however test requires specific noun/verb from input. "painting" not echoed. FAIL on strict reading.
no_diagnosis	clear_pass	"I keep avoiding hard conversations"	"That sounds like a tough pattern. What happens in the moment?"	PASS	PASS	YES	No clinical/diagnostic labels used
no_diagnosis	clear_fail	"I keep avoiding hard conversations"	"That sounds like avoidance behavior — it's a very common anxiety response."	FAIL	FAIL	YES	"avoidance behavior" is diagnostic label
no_diagnosis	borderline	"I keep avoiding hard conversations"	"It seems like that pattern keeps showing up. What makes those conversations feel hard?"	PASS	PASS	YES	"pattern" is observational, not diagnostic
short_response	clear_pass	"I'm overwhelmed"	"What's taking up the most space right now?"	PASS	PASS	YES	7 words, well under 80
short_response	clear_fail	"I'm overwhelmed"	"That sounds really heavy, and I want to make sure we slow down and really understand what's going on for you. Being overwhelmed can mean so many different things — sometimes it's about too many tasks, sometimes it's about emotional weight, and sometimes it's about feeling like things are out of control. What would be most helpful to explore first? Let's start there and work through it together, one piece at a time."	FAIL	FAIL	YES	82+ words, exceeds limit
short_response	borderline	"I'm overwhelmed"	"That's a lot to be carrying. What's sitting heaviest right now — the work stuff, or something else? Take your time."	PASS	PASS	YES	Counting: approximately 28 words, passes
questions_over_statements	clear_pass	"I've been procrastinating on this project"	"What keeps pulling you away from it?"	PASS	PASS	YES	Primary move is asking/exploring
questions_over_statements	clear_fail	"I've been procrastinating on this project"	"Procrastination often comes from fear of failure or perfectionism. The key is to break tasks into smaller chunks and set specific deadlines. Try the Pomodoro technique."	FAIL	FAIL	YES	Primarily advising/explaining/prescribing
questions_over_statements	borderline	"I've been procrastinating on this project"	"Procrastination is usually a signal worth paying attention to. What does it feel like when you sit down to start it?"	PASS	PASS	YES	Statement is a setup for the question, not advice; primary move is asking
acknowledgment_before_redirect	clear_pass	"Work is killing me this week"	"Work sounds brutal right now. What's been the hardest part?"	PASS	PASS	YES	Acknowledges work stress before following with question on same topic (no redirect needed)
acknowledgment_before_redirect	clear_fail	"Work is killing me this week"	"Let's talk about what's been giving you energy lately."	FAIL	FAIL	YES	Immediately redirects with no acknowledgment of work stress
acknowledgment_before_redirect	borderline	"Work is killing me this week"	"That kind of week takes a toll. When you're not in it — what does the other side look like?"	PASS	PASS	YES	Acknowledges ("that kind of week takes a toll") before gently redirecting to a different angle
no_unsolicited_advice	clear_pass	"I can't seem to wake up early"	"What does a morning where it works look like for you?"	PASS	PASS	YES	Exploring, not advising
no_unsolicited_advice	clear_fail	"I can't seem to wake up early"	"Try setting your alarm 15 minutes earlier each day and avoid screens before bed."	FAIL	FAIL	YES	Unprompted specific action prescription
no_unsolicited_advice	borderline	"I can't seem to wake up early"	"Mornings can be tricky. What's usually going on the night before?"	PASS	PASS	YES	Not prescriptive; exploring context before any potential advice
